name,lname,uemail,upassword,url
Kara,Topa,88testAlex@test.com,Kara123Alex,https://qauto2.forstudy.space/api
,Mrasde,88superFrank@gmail.com,Kara123Frank,https://qauto2.forstudy.space/api
Mara,Fanky,88fankymar_k@yahoo.net,Kara456Fanky,https://qauto2.forstudy.space/api
Vara,Gtoide,88IraIraIra100@google.de,Kara1Ira123,https://qauto2.forstudy.space/api
Dara,Geloyer,88gregor.golova@microsoft.com,KaraGregor123,https://qauto2.forstudy.space/api
Aara,Treka,88testAlex@test.com,Kara123Alex,https://qauto.forstudy.space/api
Fara,Mrasde,88superFrank@gmail.com,Kara444Frank,https://qauto.forstudy.space/api
Yara,Fanky,88fankymar_k@yahoo.net,Kara666Fanky,https://qauto.forstudy.space/api
Hara,Gtoide,88IraIraIra100@google.de,Kara1Ira123,https://qauto.forstudy.space/api
Nara,Geloyer,88gregor.golova@microsoft.com,KaraGregor123,https://qauto.forstudy.space/api
